FID;FID_;Entity;Layer;Color;Linetype;Elevation;LineWt;RefName;Angle;IDTombe;Inventaire;Secteur;Coordonnee;Coordonn_1;Campagne;Datation;Anciennes_;POINT_X;POINT_Y
22;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;25,000000000000000;330,000000000000000;1,000000000000000;1046,000000000000000;-266,000000000000000;2008-2009;1,000000000000000;266,000000000000000;30,444103549099999;19,614875954700000
23;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;26,000000000000000;331,000000000000000;1,000000000000000;1046,000000000000000;-264,000000000000000;2008-2009;3,000000000000000;264,000000000000000;30,444121088300001;19,614876134799999
24;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;27,000000000000000;332,000000000000000;1,000000000000000;1062,000000000000000;-261,000000000000000;2008-2009;1,000000000000000;261,000000000000000;30,444145956400000;19,615016718200000
25;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;28,000000000000000;333,000000000000000;1,000000000000000;1060,000000000000000;-266,000000000000000;2008-2009;1,000000000000000;266,000000000000000;30,444102288600000;19,614998728900002
26;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;29,000000000000000;334,000000000000000;1,000000000000000;1062,000000000000000;-266,000000000000000;2008-2009;1,000000000000000;266,000000000000000;30,444102108500001;19,615016268000002
27;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;30,000000000000000;335,000000000000000;1,000000000000000;1063,000000000000000;-266,000000000000000;2008-2009;1,000000000000000;266,000000000000000;30,444102018500001;19,615025037599999
28;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;31,000000000000000;336,000000000000000;1,000000000000000;1073,000000000000000;-264,000000000000000;2008-2009;1,000000000000000;264,000000000000000;30,444118657200001;19,615112913499999
29;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;32,000000000000000;337,000000000000000;1,000000000000000;1078,000000000000000;-264,000000000000000;2008-2009;1,000000000000000;264,000000000000000;30,444118206999999;19,615156761400002
30;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;33,000000000000000;338,000000000000000;1,000000000000000;1078,000000000000000;-262,000000000000000;2008-2009;1,000000000000000;262,000000000000000;30,444135746200001;19,615156941500000
31;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;34,000000000000000;339,000000000000000;1,000000000000000;1050,000000000000000;-262,000000000000000;2008-2009;1,000000000000000;262,000000000000000;30,444138267300001;19,614911393200000
32;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;40,000000000000000;340,000000000000000;1,000000000000000;1046,000000000000000;-262,000000000000000;2009-2010;3,000000000000000;262,000000000000000;30,444138627499999;19,614876314800000
33;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;41,000000000000000;341,000000000000000;1,000000000000000;1044,000000000000000;-265,000000000000000;2009-2010;3,000000000000000;265,000000000000000;30,444112498799999;19,614858505600001
34;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;42,000000000000000;342,000000000000000;1,000000000000000;1043,000000000000000;-263,000000000000000;2009-2010;3,000000000000000;263,000000000000000;30,444130128000001;19,614849916099999
35;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;43,000000000000000;343,000000000000000;1,000000000000000;1076,000000000000000;-260,000000000000000;2009-2010;3,000000000000000;260,000000000000000;30,444153465399999;19,615139582400001
36;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;45,000000000000000;344,000000000000000;1,000000000000000;1088,000000000000000;-271,000000000000000;2009-2010;3,000000000000000;271,000000000000000;30,444055919499998;19,615243827000000
37;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;46,000000000000000;345,000000000000000;1,000000000000000;1086,000000000000000;-270,000000000000000;2009-2010;3,000000000000000;270,000000000000000;30,444064869200002;19,615226377900001
38;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;47,000000000000000;346,000000000000000;1,000000000000000;1086,000000000000000;-276,000000000000000;2009-2010;3,000000000000000;276,000000000000000;30,444012251699998;19,615225837600001
39;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;48,000000000000000;347,000000000000000;1,000000000000000;1084,000000000000000;-275,000000000000000;2009-2010;3,000000000000000;275,000000000000000;30,444021201300000;19,615208388500001
40;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;49,000000000000000;348,000000000000000;3,000000000000000;1088,000000000000000;-292,000000000000000;2009-2010;4,000000000000000;292,000000000000000;30,443871758299998;19,615241936099999
41;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;50,000000000000000;349,000000000000000;3,000000000000000;1091,000000000000000;-298,000000000000000;2009-2010;4,000000000000000;298,000000000000000;30,443818870600001;19,615267704699999
42;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;51,000000000000000;350,000000000000000;3,000000000000000;1096,000000000000000;-306,000000000000000;2009-2010;4,000000000000000;306,000000000000000;30,443748263800000;19,615310832199999
43;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;52,000000000000000;351,000000000000000;3,000000000000000;1092,000000000000000;-301,000000000000000;2009-2010;4,000000000000000;301,000000000000000;30,443792471799998;19,615276204099999
44;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;53,000000000000000;352,000000000000000;3,000000000000000;1090,000000000000000;-302,000000000000000;2009-2010;4,000000000000000;302,000000000000000;30,443783882300000;19,615258574900000
45;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;54,000000000000000;353,000000000000000;3,000000000000000;1088,000000000000000;-300,000000000000000;2009-2010;4,000000000000000;300,000000000000000;30,443801601600001;19,615241215800001
46;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;55,000000000000000;354,000000000000000;3,000000000000000;1088,000000000000000;-302,000000000000000;2009-2010;4,000000000000000;302,000000000000000;30,443784062399999;19,615241035699999
47;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;56,000000000000000;355,000000000000000;3,000000000000000;1089,000000000000000;-297,000000000000000;2009-2010;4,000000000000000;297,000000000000000;30,443827820300001;19,615250255500001
48;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;57,000000000000000;356,000000000000000;1,000000000000000;1089,000000000000000;-270,000000000000000;2009-2010;3,000000000000000;270,000000000000000;30,444064599099999;19,615252686600002
49;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;58,000000000000000;357,000000000000000;1,000000000000000;1090,000000000000000;-268,000000000000000;2009-2010;3,000000000000000;268,000000000000000;30,444082048199999;19,615261636300001
50;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;59,000000000000000;358,000000000000000;1,000000000000000;1086,000000000000000;-272,000000000000000;2009-2010;3,000000000000000;272,000000000000000;30,444047330000000;19,615226197799998
51;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;60,000000000000000;359,000000000000000;1,000000000000000;1093,000000000000000;-266,000000000000000;2009-2010;3,000000000000000;266,000000000000000;30,444099317199999;19,615288125100001
52;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;61,000000000000000;360,000000000000000;1,000000000000000;1090,000000000000000;-266,000000000000000;2009-2010;3,000000000000000;266,000000000000000;30,444099587400000;19,615261816400000
53;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;62,000000000000000;361,000000000000000;1,000000000000000;1088,000000000000000;-267,000000000000000;2009-2010;3,000000000000000;267,000000000000000;30,444090997899998;19,615244187199998
54;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;63,000000000000000;362,000000000000000;1,000000000000000;1091,000000000000000;-266,000000000000000;2009-2010;3,000000000000000;266,000000000000000;30,444099497300002;19,615270585899999
55;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;64,000000000000000;363,000000000000000;1,000000000000000;1086,000000000000000;-265,000000000000000;2009-2010;3,000000000000000;265,000000000000000;30,444108717100001;19,615226828099999
56;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;65,000000000000000;364,000000000000000;1,000000000000000;1084,000000000000000;-266,000000000000000;2009-2010;3,000000000000000;266,000000000000000;30,444100127599999;19,615209198900001
57;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;66,000000000000000;365,000000000000000;1,000000000000000;1086,000000000000000;-267,000000000000000;2009-2010;3,000000000000000;267,000000000000000;30,444091177899999;19,615226648000000
58;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;67,000000000000000;366,000000000000000;1,000000000000000;1090,000000000000000;-271,000000000000000;2009-2010;3,000000000000000;271,000000000000000;30,444055739400000;19,615261366199999
59;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;68,000000000000000;367,000000000000000;1,000000000000000;1085,000000000000000;-271,000000000000000;2009-2010;3,000000000000000;271,000000000000000;30,444056189600001;19,615217518200001
60;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;69,000000000000000;368,000000000000000;1,000000000000000;1084,000000000000000;-273,000000000000000;2009-2010;3,000000000000000;273,000000000000000;30,444038740500002;19,615208568600000
61;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;70,000000000000000;369,000000000000000;1,000000000000000;1092,000000000000000;-268,000000000000000;2009-2010;3,000000000000000;268,000000000000000;30,444081868100000;19,615279175500000
62;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;71,000000000000000;370,000000000000000;1,000000000000000;1084,000000000000000;-277,000000000000000;2009-2010;3,000000000000000;277,000000000000000;30,444003662200000;19,615208208399999
63;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;72,000000000000000;371,000000000000000;1,000000000000000;1086,000000000000000;-274,000000000000000;2009-2010;3,000000000000000;274,000000000000000;30,444029790900000;19,615226017700000
64;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;74,000000000000000;285,000000000000000;3,000000000000000;1087,000000000000000;-298,000000000000000;2009-2010;4,000000000000000;298,000000000000000;30,443819230799999;19,615232626299999
65;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;75,000000000000000;286,000000000000000;3,000000000000000;1086,000000000000000;-302,000000000000000;2009-2010;4,000000000000000;302,000000000000000;30,443784242500001;19,615223496599999
66;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;76,000000000000000;287,000000000000000;3,000000000000000;1087,000000000000000;-300,000000000000000;2009-2010;3,000000000000000;300,000000000000000;30,443801691600001;19,615232446200000
67;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;77,000000000000000;288,000000000000000;3,000000000000000;1085,000000000000000;-298,000000000000000;2009-2010;4,000000000000000;298,000000000000000;30,443819410900002;19,615215087199999
68;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;78,000000000000000;289,000000000000000;3,000000000000000;1086,000000000000000;-299,000000000000000;2009-2010;4,000000000000000;299,000000000000000;30,443810551300000;19,615223766700002
69;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;79,000000000000000;290,000000000000000;3,000000000000000;1084,000000000000000;-302,000000000000000;2009-2010;4,000000000000000;302,000000000000000;30,443784422600000;19,615205957400001
70;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;80,000000000000000;291,000000000000000;3,000000000000000;1083,000000000000000;-300,000000000000000;2009-2010;4,000000000000000;300,000000000000000;30,443802051799999;19,615197367899999
71;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;81,000000000000000;292,000000000000000;3,000000000000000;1083,000000000000000;-297,000000000000000;2009-2010;4,000000000000000;297,000000000000000;30,443828360500000;19,615197638000001
72;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;82,000000000000000;293,000000000000000;3,000000000000000;1082,000000000000000;-301,000000000000000;2009-2010;4,000000000000000;301,000000000000000;30,443793372300000;19,615188508300001
73;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;83,000000000000000;294,000000000000000;3,000000000000000;1082,000000000000000;-303,000000000000000;2009-2010;4,000000000000000;303,000000000000000;30,443775833099998;19,615188328199999
74;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;84,000000000000000;295,000000000000000;3,000000000000000;1081,000000000000000;-300,000000000000000;2009-2010;4,000000000000000;300,000000000000000;30,443802231900001;19,615179828700001
75;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;85,000000000000000;296,000000000000000;3,000000000000000;1080,000000000000000;-302,000000000000000;2009-2010;4,000000000000000;302,000000000000000;30,443784782800002;19,615170879099999
76;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;86,000000000000000;297,000000000000000;3,000000000000000;1080,000000000000000;-300,000000000000000;2009-2010;4,000000000000000;300,000000000000000;30,443802321900002;19,615171059200001
77;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;87,000000000000000;298,000000000000000;3,000000000000000;1078,000000000000000;-297,000000000000000;2009-2010;4,000000000000000;297,000000000000000;30,443828810700001;19,615153790099999
78;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;88,000000000000000;372,000000000000000;3,000000000000000;1090,000000000000000;-299,000000000000000;2010-2011;3,000000000000000;299,000000000000000;30,443810191099999;19,615258845000000
79;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;91,000000000000000;373,000000000000000;1,000000000000000;1084,000000000000000;-270,000000000000000;2010-2011;3,000000000000000;270,000000000000000;30,444065049300001;19,615208838699999
80;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;92,000000000000000;374,000000000000000;1,000000000000000;1084,000000000000000;-267,000000000000000;2010-2011;3,000000000000000;267,000000000000000;30,444091358000001;19,615209108799998
81;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;93,000000000000000;375,000000000000000;1,000000000000000;1090,000000000000000;-274,000000000000000;2010-2011;3,000000000000000;274,000000000000000;30,444029430699999;19,615261096000001
82;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;94,000000000000000;376,000000000000000;1,000000000000000;1084,000000000000000;-276,000000000000000;2010-2011;3,000000000000000;276,000000000000000;30,444012431800001;19,615208298500001
83;0;Point;Tombb;198;Continuous;0,000000000000000;25; ;0,000000000000000;95,000000000000000;377,000000000000000;1,000000000000000;1088,000000000000000;-276,000000000000000;2010-2011;3,000000000000000;276,000000000000000;30,444012071600000;19,615243376799999
